city_norm,edc_type,edc_first_report_year
PROGRESO,A&B,1997
PROSPER,A,1997
PROVIDENCE VILLAGE,B,2019
QUANAH,A&B,1997
QUEEN CITY,B,1997
QUINLAN,B,1997
QUITAQUE,B,2003
QUITMAN,B,1998
RANGER,A&B,1997
RANKIN,B,2002
RAYMONDVILLE,A&B,1997
RED OAK,A&B,1997
REDWATER,B,1997
REFUGIO,B,1997
RICE,B,2018
RICHLAND HILLS,B,1997
RICHMOND,B,1997
RIO GRANDE CITY,A&B,1997
RIO HONDO,A&B,2001
RIO VISTA,B,1998
RISING STAR,B,1997
RIVER OAKS,B,1998
ROANOKE,A&B,1997
ROARING SPRINGS,A&B,2001
ROBERT LEE,A&B,2002
ROBSTOWN,B,1998
ROCKSPRINGS,B,2001
ROCKWALL,A,1997
ROLLINGWOOD,A&B,2002
ROMA,A&B,1997
ROPESVILLE,B,2004
ROSCOE,A&B,2002
ROSEBUD,B,2001
ROSENBERG,B,1997
ROTAN,A,1997
ROUND ROCK,B,1998
ROUND TOP,B,1999
ROYSE CITY,B,1997
RUNAWAY BAY,B,1997
RUSK,A&B,1997
SACHSE,B,1997
SAN ANGELO,B,2000
SAN ANTONIO,B,1997
SAN BENITO,B,1997
SAN JUAN,B,1997
SAN SABA,B,2000
SANGER,A&B,1999
SANSOM PARK,B,2003
SANTA ANNA,B,1997
SANTA FE,B,2002
SANTA ROSA,A&B,2016
SAVOY,B,2007
SCHERTZ,B,1998
SCHULENBERG,B,1999
SCHULENBURG,B,1998
SEABROOK,A&B,1997
SEAGOVILLE,B,1997
SEAGRAVES,A&B,2006
SEALY,B,1998
SEARGRAVES,A,2006
SEGUIN,A,1998
SEMINOLE,B,2003
SEVEN POINTS,B,1997
SHAMROCK,A,1997
SHEPHERD,B,2001
SHERMAN,A&B,1997
SILSBEE,A,1997
SILVERTON,B,2007
SIMONTON,A&B,2009
SINTON,A&B,1997
SLATON,A&B,2000
SNOOK,B,1997
SNYDER,A,1997
SOMERSET,A&B,1997
SONORA,B,1999
SOUR LAKE,A&B,1997
SOUTH HOUSTON,B,2005
SOUTH PADRE ISLAND,A&B,1997
SOUTHLAKE,A&B,1997
SOUTHMAYD,A&B,2009
SPEARMAN,B,1997
SPRING,B,1998
SPUR,B,2007
ST JO,A&B,1998
STAFFORD,B,2001
STAMFORD,A,1997
STANTON,B,2005
STEPHENVILLE,B,2016
STERLING CITY,B,1997
STINNETT,B,2000
STOCKDALE,B,2002
STRATFORD,B,1997
STRAWN,B,1998
SUDAN,B,1999
SUGAR LAND,A&B,1997
SULLINVAN CITY,B,2005
SULLIVAN CITY,B,2006
SULPHUR SPRINGS,A,1998
SUNDOWN,B,2002
SUNNYVALE,A&B,1997
SUNRAY,A&B,2018
SUNSET,B,1997
SWEENY,B,1998
SWEETWATER,A,1997
TAFT,A&B,2002
TAHOKA,B,2010
TATUM,A,1997
TAYLOR,A,1997
TEAGUE,B,1997
TERRELL,A&B,1997
TEXAS CITY,A&B,1997
THE COLONY,A&B,1999
THORNDALE,B,2002
THROCKMORTON,B,1998
TIMPSON,B,2012
TIOGA,A&B,2000
TOLAR,A,1997
TOM BEAN,A&B,2011
TOMBALL,B,1997
TRENTON,A&B,1999
TRINIDAD,B,1999
TRINITY,B,1998
TROPHY CLUB,A&B,1997
TROUP,B,2000
TULIA,B,2012
TURKEY,B,1998
TYE,A&B,1997
TYLER,B,1997
UHLAND,B,2009
UNIVERSAL CITY,B,1997
VAN,B,1998
VAN ALSTYNE,A&B,1997
VAN HORN,B,1997
VENUS,B,1997
VERNON,A,1997
VICTORIA,B,1998
VON ORMY,A&B,2010
WACO,A,1997
WAKE VILLAGE,B,2001
WALLER,A,2000
WALLIS,B,2000
WATAUGA,B,1997
WAXAHACHIE,B,1998
WEBBERVILLE,B,2006
WEBSTER,B,2000
WEIMAR,B,2001
WELLINGTON,A,1997
WESLACO,A,1998
WEST,B,2024
WEST COLUMBIA,B,1997
WEST TAWAKONI,A&B,1997
WESTLAKE,A&B,1997
WESTWORTH VILLAGE,B,2005
WHARTON,B,1999
WHEELER,B,1998
WHITE DEER,B,2006
